epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,211.191,1.21985,8.64383,0.56866,0.8226,0.02785,13.0849,0.91828,0.92073,0.9567,0.57744,0.09224,0.09395,0.01017,0.00131,1.3733,6.76051,0.56369,0.51224,0.04944,0,0.000665094,0.000665094,0.000665094
2,404.652,1.28462,7.37839,0.44593,0.74971,0.02923,9.02054,0.90339,0.88491,0.94136,0.56636,0.21263,0.20904,0.05929,0.00862,1.3929,6.11517,0.53022,0.59886,0.05065,0,0.00126584,0.00126584,0.00126584
3,505.933,1.33264,6.91063,0.40954,0.75605,0.03051,8.35522,0.88244,0.90664,0.94526,0.59633,0.2086,0.21844,0.06815,0.01052,1.29417,5.9499,0.45034,0.57479,0.04696,0,0.00180058,0.00180058,0.00180058
4,606.934,1.28178,6.74017,0.39304,0.76132,0.02932,8.23297,0.90088,0.9233,0.9535,0.63681,0.46932,0.40869,0.27722,0.05309,1.16804,5.15099,0.3986,0.51005,0.04073,0,0.001703,0.001703,0.001703
5,707.733,1.25657,6.37579,0.38002,0.73364,0.02859,7.75007,0.92176,0.94539,0.96988,0.65832,0.58878,0.51538,0.38603,0.0788,1.14684,4.6895,0.40814,0.42408,0.04067,0,0.001604,0.001604,0.001604
6,808.51,1.18746,6.01492,0.36885,0.69286,0.02649,7.25212,0.93263,0.94128,0.97476,0.71411,0.4474,0.41809,0.27231,0.05049,0.974,5.04318,0.41858,0.37825,0.03372,0,0.001505,0.001505,0.001505
7,909.61,1.14432,5.71698,0.35698,0.64688,0.0256,6.93968,0.93851,0.95537,0.97686,0.72397,0.70641,0.63594,0.57734,0.13907,0.95442,4.20102,0.39607,0.35667,0.03255,0,0.001406,0.001406,0.001406
8,1011.33,1.1023,5.50101,0.3546,0.62955,0.02475,6.67126,0.9366,0.95009,0.97345,0.71952,0.7259,0.69113,0.62444,0.16589,0.93991,3.99538,0.4054,0.35805,0.03194,0,0.001307,0.001307,0.001307
9,1112.29,1.07499,5.37101,0.34882,0.62101,0.02389,6.51091,0.94234,0.95003,0.97466,0.71565,0.69934,0.67117,0.58249,0.15014,0.97491,4.07315,0.39843,0.35904,0.03368,0,0.001208,0.001208,0.001208
10,1212.89,1.04805,5.16515,0.34391,0.59272,0.02318,6.22,0.93311,0.96359,0.97797,0.72561,0.75599,0.75455,0.6868,0.2016,0.93123,3.73126,0.39607,0.33861,0.03182,0,0.001109,0.001109,0.001109
11,1312.68,0.92335,3.93013,0.39128,0.35889,0.02871,7.01541,0.94548,0.95126,0.97991,0.75907,0.8015,0.76348,0.72695,0.22398,0.82304,3.55452,0.35858,0.31336,0.02746,0,0.00101,0.00101,0.00101
12,1412.19,0.83893,3.70574,0.37944,0.32248,0.02575,6.69237,0.94083,0.96163,0.98254,0.76621,0.80454,0.76277,0.72703,0.22575,0.80751,3.57164,0.35295,0.30769,0.02678,0,0.000911,0.000911,0.000911
13,1511.72,0.80478,3.55997,0.37485,0.30236,0.02465,6.53786,0.93449,0.97171,0.98291,0.78361,0.8336,0.79683,0.78548,0.27674,0.76958,3.32208,0.3486,0.30258,0.02565,0,0.000812,0.000812,0.000812
14,1611.53,0.76098,3.34792,0.37123,0.28301,0.0229,6.21453,0.95814,0.95425,0.9869,0.78689,0.83423,0.82501,0.79199,0.29462,0.76377,3.18766,0.34586,0.2771,0.02524,0,0.000713,0.000713,0.000713
15,1710.87,0.73278,3.17975,0.36894,0.27158,0.02203,5.95564,0.95166,0.97103,0.98697,0.79833,0.85107,0.84263,0.80988,0.31579,0.71906,3.07879,0.34658,0.26213,0.02378,0,0.000614,0.000614,0.000614
16,1810.37,0.69168,3.05578,0.36495,0.25391,0.02051,5.74939,0.95639,0.96594,0.98703,0.80478,0.85202,0.84909,0.82896,0.32433,0.72634,3.05431,0.34702,0.26135,0.02415,0,0.000515,0.000515,0.000515
17,1909.84,0.66133,2.92316,0.36251,0.24229,0.01965,5.57021,0.95869,0.96758,0.98625,0.81999,0.88065,0.85144,0.84114,0.34157,0.66067,2.98829,0.34428,0.25175,0.02148,0,0.000416,0.000416,0.000416
18,2009.16,0.63963,2.8323,0.36256,0.23788,0.01896,5.40563,0.96701,0.95831,0.9872,0.82518,0.87513,0.85189,0.84387,0.35595,0.64841,2.90742,0.34371,0.24268,0.02111,0,0.000317,0.000317,0.000317
19,2108.56,0.61982,2.75157,0.3608,0.23456,0.01832,5.2718,0.96747,0.96477,0.9881,0.82959,0.87564,0.86823,0.84856,0.36044,0.63473,2.88411,0.34332,0.23519,0.02066,0,0.000218,0.000218,0.000218
20,2208.07,0.59825,2.683,0.36113,0.22858,0.01756,5.16055,0.9575,0.97892,0.98858,0.83218,0.878,0.87056,0.85998,0.3663,0.63238,2.86273,0.34288,0.23263,0.02055,0,0.000119,0.000119,0.000119
